App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
PAC-MAN Premium,100788224,281656475,USD,3.99,21292,26,4,4.5,6.3.5,4+,Games,38,5,10,1
Evernote - stay organized,158578688,281796108,USD,0,161065,26,4,3.5,8.2.2,4+,Productivity,37,5,23,1
"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,281940292,USD,0,188583,2822,3.5,4.5,5.0.0,4+,Weather,37,5,3,1
"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,282614216,USD,0,262241,649,4,4.5,5.10.0,12+,Shopping,37,5,9,1
Bible,92774400,282935706,USD,0,985920,5320,4.5,5,7.5.1,4+,Reference,37,5,45,1
Shanghai Mahjong,10485713,283619399,USD,0.99,8253,5516,4,4,1.8,4+,Games,47,5,1,1
PayPal - Send and request money safely,227795968,283646709,USD,0,119487,879,4,4.5,6.12.0,4+,Finance,37,0,19,1
Pandora - Music & Radio,130242560,284035177,USD,0,1126879,3594,4,4.5,8.4.1,12+,Music,37,4,1,1
PCalc - The Best Calculator,49250304,284666222,USD,9.99,1117,4,4.5,5,3.6.6,4+,Utilities,37,5,1,1
Ms. PAC-MAN,70023168,284736660,USD,3.99,7885,40,4,4,4.0.4,4+,Games,38,0,10,1
Solitaire by MobilityWare,49618944,284791396,USD,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,38,4,11,1
SCRABBLE Premium,227547136,284815117,USD,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,37,0,6,1
Google – Search made just for mobile,179979264,284815942,USD,0,479440,203,3.5,4,27,17+,Utilities,37,4,33,1
Bank of America - Mobile Banking,160925696,284847138,USD,0,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2,1
FreeCell,55153664,284862767,USD,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,38,5,2,1
TripAdvisor Hotels Flights Restaurants,207907840,284876795,USD,0,56194,87,4,3.5,21.1,4+,Travel,37,1,26,1
Facebook,389879808,284882215,USD,0,2974676,212,3.5,3.5,95,4+,Social Networking,37,1,29,1
"Yelp - Nearby Restaurants, Shopping & Services",167407616,284910350,USD,0,223885,3726,4,4.5,11.15.0,12+,Travel,37,5,18,1
"Shazam - Discover music, artists, videos & lyrics",147093504,284993459,USD,0,402925,136,4,4.5,11.0.3,12+,Music,37,3,16,1
Crash Bandicoot Nitro Kart 3D,10735026,285005463,USD,2.99,31456,4178,4,3.5,1.0.0,4+,Games,47,0,1,1
iQuran,70707916,285946052,USD,1.99,2929,966,4.5,4.5,3.3,4+,Reference,43,0,2,1
:) Sudoku +,6169600,285994151,USD,2.99,11447,781,5,5,5.2.6,4+,Games,40,5,1,1
"Yahoo Sports - Teams, Scores, News & Highlights",130583552,286058814,USD,0,137951,131,4,4.5,6.9,4+,Sports,37,2,6,1
Mileage Log | Fahrtenbuch,71203840,286070473,USD,5.99,8,0,4.5,0,9.0.5,4+,Business,37,5,3,1
Cleartune - Chromatic Tuner,11423008,286799607,USD,3.99,3241,297,4,4,2.1.3,4+,Music,43,2,10,1
Lifesum – Inspiring healthy lifestyle app,188017664,286906691,USD,0,5795,12,3.5,4,8.4.1,4+,Health & Fitness,37,5,11,1
Hangman.,4765696,286911400,USD,0,42316,248,3,3.5,2.0.6,9+,Games,38,0,1,1
iTranslate - Language Translator & Dictionary,287933440,288113403,USD,0,123215,25,3.5,5,10.5.4,4+,Productivity,37,5,23,1
TouchOSC,4263936,288120394,USD,4.99,782,7,4,3.5,1.9.8,4+,Music,43,1,1,1
RadarScope,172772352,288419283,USD,9.99,3449,23,4,4.5,3.4.1,4+,Weather,37,5,1,1
LinkedIn,273844224,288429040,USD,0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23,1
Period Tracker Deluxe,40216576,289084315,USD,1.99,13350,489,4.5,5,9.6,12+,Health & Fitness,38,0,15,1
Election 2016 Map,2386944,289446241,USD,0.99,137,0,3,0,5,4+,Entertainment,37,1,1,1
Blackjack by MobilityWare,105431040,289523017,USD,0,180087,1101,3.5,4.5,5.5.3,12+,Games,37,5,5,1
White Noise,44129280,289894882,USD,0.99,33426,299,4,5,7.2,4+,Health & Fitness,37,5,3,1
iHeartRadio – Free Music & Radio Stations,116443136,290638154,USD,0,293228,110,4,3,8.0.0,12+,Music,37,5,2,1
Line Rider iRide™,1646592,290807369,USD,1.99,21609,69,3.5,2.5,2.4,9+,Entertainment,40,0,1,1
Deliveries: a package tracker,30016512,290986013,USD,4.99,4684,10,4,4,8.0.3,4+,Utilities,37,4,9,1
Hurricane Pro,29518848,291430598,USD,2.99,2104,0,4.5,0,5.2,17+,Weather,37,0,1,1
Fieldrunners,66872320,292421271,USD,2.99,41633,6,4,3,1.7.177604,9+,Games,37,0,1,1
Juxtaposer,45229056,292628469,USD,2.99,3610,7,4.5,5,3.8.2,4+,Photo & Video,37,5,1,1
Deezer - Listen to your Favorite Music & Playlists,127470592,292738169,USD,0,4677,12,3,4,6.19.0,12+,Music,37,5,21,1
iStellar,44241920,293118835,USD,3.99,30,0,3.5,0,2.9.0,4+,Navigation,37,0,2,0
Sonos Controller,107983872,293523031,USD,0,48905,2691,4.5,4.5,7.2,4+,Music,37,4,12,1
Avertinoo,8044544,293573778,USD,4.99,32,0,3,0,3.9.2,4+,Navigation,38,5,7,1
Google Earth,37214208,293622097,USD,0,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30,1
iFart - The Original Fart Sounds App,60320768,293760823,USD,1.99,21825,10,3,4,4.0.8,9+,Entertainment,37,5,1,1
PAC-MAN,100849664,293778748,USD,0,508808,99,3,4.5,6.3.5,4+,Games,38,5,10,1
FOX Sports Mobile,72748032,294056623,USD,0,57500,103,3,4,3.5.13,4+,Sports,37,0,1,0
First Words Animals,32164864,294536447,USD,1.99,2576,4,4,5,7,4+,Games,38,5,1,1
WeatherPro,69079040,294631159,USD,1.99,1572,34,4,4.5,4.8.2,4+,Weather,37,0,13,1
HotSchedules,82037760,294934058,USD,2.99,3292,2,3,5,4.56.1,4+,Business,37,2,2,1
Star Walk - Find Stars And Planets in Sky Above,150195200,295430577,USD,4.99,8932,55,4.5,5,7.2.3,4+,Education,37,0,12,1
"The Weather Channel: Forecast, Radar & Alerts",199734272,295646461,USD,0,495626,5893,3.5,4.5,8.11,4+,Weather,37,0,33,1
Big Day - Event Countdown,13156352,295759189,USD,0.99,812,14,3,4,8.2.0,4+,Lifestyle,38,0,7,1
12 Steps AA Companion - Alcoholics Anonymous,30367744,295775656,USD,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,37,5,1,1
OpenTable - Restaurant Reservations,93420544,296581815,USD,0,113936,150,4.5,5,10.18.0,4+,Food & Drink,37,1,6,1
VLC Remote,31505408,297244048,USD,4.99,2027,2,4,5,9.3,4+,Entertainment,37,5,33,1
gFlashPro - Flashcards & Tests,25997312,297332787,USD,3.99,768,4,4,4,7.1,4+,Education,37,3,3,1
Lose It! – Weight Loss Program and Calorie Counter,182054912,297368629,USD,0,373835,402,4,4.5,8.0.2,4+,Health & Fitness,37,3,1,1
Target,138754048,297430070,USD,0,108131,13,3,2,8.21.0,4+,Shopping,37,0,1,1
Fish Tycoon,13564835,297606726,USD,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,47,0,1,1
"Amazon App: shop, scan, compare, and read reviews",133688320,297606951,USD,0,126312,22,3.5,3,9.10.0,4+,Shopping,37,5,8,1
Touchgrind,55205888,297694601,USD,4.99,35735,378,4,4.5,1.5.1,4+,Games,40,0,0,1
ProPresenter Remote,46922752,298127110,USD,4.99,410,7,3,2.5,4.8.1,4+,Utilities,37,5,1,1
iReal Pro - Music Book & Play Along,63283200,298206806,USD,12.99,1390,143,4.5,5,7.0.1,4+,Music,37,5,33,1
NRJ Radio,53426176,298596830,USD,0,38,2,3.5,5,5.2.6,4+,Music,37,5,4,1
Chase Mobile℠,39505920,298867247,USD,0,233270,14625,4.5,4.5,2.61,4+,Finance,37,0,2,1
大辞林,210088960,299029654,USD,21.99,64,0,4.5,0,4.1.1,4+,Reference,37,5,2,1
Allrecipes Dinner Spinner,36399104,299515267,USD,0,109349,1540,3.5,5,6.3,12+,Food & Drink,37,5,1,1
新浪新闻-阅读最新时事热门头条资讯视频,115143680,299853944,USD,0,2229,4,3.5,1,6.2.1,17+,News,37,0,1,1
MotionX GPS,56481792,299949744,USD,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,37,0,1,1
AccuWeather - Weather for Life,181941248,300048137,USD,0,144214,2162,3.5,4,10.4.1,4+,Weather,37,1,43,1
"Mint: Personal Finance, Budget, Bills & Money",162891776,300238550,USD,0,232940,683,4,4.5,5.9.0,4+,Finance,37,5,1,1
ABC News - US & World News + Live Video,98108416,300255638,USD,0,48407,20,3,3.5,5.16,12+,News,37,0,1,0
Rowmote: Remote Control for Mac,54088704,300265786,USD,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,40,3,13,1
Peekaboo Barn,50155520,300590611,USD,1.99,3393,77,4,4,5.1.0,4+,Education,43,5,1,1
Speedtest by Ookla,23936000,300704847,USD,0,65016,274,3.5,5,3.8.2,4+,Utilities,38,4,17,1
Pocket God,145293312,301387274,USD,0.99,187529,1071,4,4,1.48.2,9+,Entertainment,43,5,1,1
Nike+ Training Club - Workouts & Fitness Plans,140367872,301521403,USD,0,33969,466,3.5,5,5.4.1,4+,Health & Fitness,37,0,17,1
Citi Mobile®,281244672,301724680,USD,0,48822,193,3.5,4,8.5.0,4+,Finance,37,0,1,1
Phase 10 Pro - Play Your Friends!,66695168,302049354,USD,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,40,5,1,1
"Kindle – Read eBooks, Magazines & Textbooks",169747456,302584613,USD,0,252076,80,3.5,4.5,5.11,4+,Book,37,5,9,1
MASH,41691136,303058767,USD,1.99,4913,1,4,4,3.3.2,9+,Games,37,3,15,1
同花顺-炒股、股票,122886144,303191318,USD,0,1744,0,3.5,0,10.10.46,4+,Finance,37,0,1,1
Wedding Dash Deluxe,55803904,303337299,USD,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,43,4,1,1
Beer Pong Game,188956672,303849934,USD,0,187315,9,2,4,17.05.15,17+,Games,37,5,9,1
Tempo - Metronome with Setlists,22185984,304731501,USD,2.99,4781,1,4.5,5,3.9.2,4+,Music,37,5,10,1
Skat,66160640,304770340,USD,3.99,94,4,4.5,4.5,11.0.10,4+,Games,37,0,1,1
Color Splash,28135424,304871603,USD,0.99,29554,55,4,5,3.6.1,4+,Photo & Video,37,0,3,1
Zombieville USA,27962441,304871622,USD,0.99,32988,2489,4,4,1.7,12+,Games,47,5,1,1
Skype for iPhone,133238784,304878510,USD,0,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32,1
Tumblr,151573504,305343404,USD,0,334293,919,4,4,8.6,17+,Social Networking,37,5,16,1
iSwap Faces,27069440,305557780,USD,1.99,2302,3,3.5,5,5.1,4+,Photo & Video,37,5,1,1
Match™ - #1 Dating App.,101259264,305939712,USD,0,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10,1
Tozzle - Toddler's favorite puzzle,168192000,306169895,USD,2.99,2562,10,4,4.5,5.1,4+,Games,37,5,4,1
HomeBudget with Sync,17485824,306257910,USD,4.99,3042,6,3.5,4,3.3.0,4+,Finance,37,5,11,1
Wind Meter,5234688,306375551,USD,0.99,338,12,2.5,2,5,4+,Weather,43,0,1,1
Map My Run+ - GPS Running & Workout Tracker,237913088,306468004,USD,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,37,0,9,1
Map My Ride+ - GPS Cycling & Route Tracker,233513984,306561234,USD,2.99,10046,7,4.5,5,17.5.5,4+,Health & Fitness,37,0,9,1
"HuffPost - News, Politics & Entertainment",110420992,306621789,USD,0,29107,85,3,4,11.2,12+,News,37,5,10,1
Phrase Party!,47774720,306628397,USD,1.99,878,48,4,4.5,8.7.5,17+,Games,38,5,1,1
Minesweeper Classic,22259712,306937053,USD,0.99,1140,20,3.5,3.5,3.6,4+,Games,37,4,1,1
Sally's Spa,431771648,307132353,USD,2.99,35074,403,4.5,4,3.3.0,4+,Games,43,0,6,1
"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,307184892,USD,0,59639,11,3,2.5,10.2.2,17+,Sports,37,4,1,1
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,307219387,USD,4.99,2913,357,4,5,7.4,4+,Health & Fitness,43,5,1,1
iSwap Faces LITE,30796800,307354030,USD,0,39722,0,3,0,5.1,4+,Photo & Video,37,5,1,1
DIRECTV,151397376,307386350,USD,0,81006,25,3.5,3,4.9.705,4+,Entertainment,37,0,1,1
NYTimes Crossword - Daily Word Puzzle Game,46880768,307569751,USD,0,53465,204,3.5,4,2.8.1,4+,Games,37,5,1,1
Doodle Jump,48741376,307727765,USD,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1,1
LEDit – The LED Banner App,17145856,307741537,USD,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,37,4,12,1
niconico,25808896,307764057,USD,0,182,0,3,0,6.52,17+,Entertainment,37,5,3,1
Fandango Movies - Times + Tickets,81924096,307906541,USD,0,291787,589,4,5,8.6,4+,Entertainment,37,4,1,1
iCab Mobile (Web Browser),19451904,308111628,USD,1.99,2441,4,4,5,9.9,17+,Utilities,38,4,12,1
iRagdoll - Ragdoll Physics,118683648,308339980,USD,0.99,1372,25,4,4,1.8.3,12+,Games,37,2,1,1
Proloquo2Go - Symbol-based AAC,723764224,308368164,USD,249.99,773,10,4,3.5,5.0.1,4+,Education,37,5,3,1
Dictionary.com Dictionary & Thesaurus,111275008,308750436,USD,0,200047,177,4,4,7.1.3,4+,Reference,37,0,1,1
20 Minutes.fr - l'actualité en continu,109616128,308834491,USD,0,112,0,3.5,0,5.0.11,12+,News,37,5,17,1
The Masters Tournament,120725504,309025938,USD,0,148160,63,4.5,3.5,9.0.701,4+,Sports,37,5,1,1
